Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,previsão
2020-11-09,31.1586395577182,31.208020466554764,29.74637947139555,29.97352600097656,949100,0.0,0.0,29.511528
2020-11-10,30.230301796056928,30.398193122722915,29.60811551571686,30.08216094970703,1053500,0.0,0.0,29.064991
2020-11-11,29.992743916513408,30.161577314700907,29.43658572586115,29.6153507232666,507500,0.169963,0.0,29.276455
2020-11-12,29.714663567322983,29.76431966705856,28.671870318805563,28.91022300720215,524400,0.0,0.0,28.779108
2020-11-13,28.979742429285853,29.92322158813477,28.870496736286768,29.92322158813477,444000,0.0,0.0,28.158289
2020-11-16,30.201302100456275,30.57869529724121,29.198233301145308,30.57869529724121,874000,0.0,0.0,29.156557
2020-11-17,30.310547585912104,30.529037086445616,29.545831492656514,29.59548759460449,854400,0.0,0.0,29.607515
2020-11-18,29.74446002437605,29.794116126883967,28.701664823379776,28.989675521850582,820800,0.0,0.0,28.704317
2020-11-19,29.069126080520636,29.079057679757184,28.522899488063565,28.56262588500977,1147400,0.0,0.0,28.28482
2020-11-23,28.840704298076577,28.910223596827752,28.095851421298885,28.224958419799805,807300,0.0,0.0,27.841898
2020-11-24,28.403723054583207,28.473242352456385,27.72838948508581,27.797908782958984,1521800,0.0,0.0,27.502478
2020-11-25,27.678734681922,29.12871408910164,27.658871483239267,28.99960708618164,988300,0.0,0.0,27.081575
2020-11-26,28.99960552518689,29.62528109594298,28.60234914995133,29.426652908325195,1393600,0.0,0.0,28.263176
2020-11-27,29.50610538796494,30.191370588336373,29.426654487505854,29.516036987304688,1152900,0.0,0.0,28.506731
2020-11-30,29.62528298776763,30.082127090758373,28.40372467041016,28.40372467041016,1903100,0.0,0.0,28.659492
2020-12-01,28.552694133326582,28.761252033404023,28.00646943804475,28.60235023498535,1958800,0.0,0.0,27.613094
2020-12-02,28.78111555847004,30.588624956693923,28.73145945624762,30.072195053100582,2488500,0.0,0.0,27.93681
2020-12-03,30.270821540066315,30.90643063907445,29.97288113640483,30.538969039916992,1460900,0.0,0.0,29.213408
2020-12-04,30.63828269108116,30.71773359051269,29.68487000364385,30.141714096069336,1224100,0.0,0.0,29.527365
2020-12-07,30.19137062415812,30.19137062415812,29.327342317422747,29.506105422973636,1356100,0.0,0.0,29.244688
2020-12-08,29.57562550252359,30.161576582343287,29.29754641394954,29.81397819519043,740900,0.0,0.0,28.721975
2020-12-09,29.813978308659312,30.40986098972368,29.178369231536536,29.25782012939453,1256800,0.0,0.0,29.04334
2020-12-10,29.307478504888387,29.684869801047817,28.37392902224505,29.674938201904297,1000800,0.0,0.0,28.41902
2020-12-11,29.7841831464545,29.7841831464545,28.721526690285184,29.357133865356445,911400,0.0,0.0,28.905079
2020-12-14,29.42665347218282,30.44958543777534,29.3074780727356,30.32047843933105,863300,0.0,0.0,28.505764
2020-12-15,30.32047894004121,30.78725273505892,30.101987547015128,30.18143844604492,859800,0.0,0.0,29.492054
2020-12-16,30.2906844140797,30.985881207516226,30.10198781684541,30.62835121154785,1803600,0.0,0.0,29.236496
2020-12-17,30.638283323969944,30.81704832494833,29.873567217233028,29.972881317138672,1017200,0.0,0.0,29.7627
2020-12-18,30.21123285879828,30.54889964893956,29.76432037353516,29.76432037353516,1185300,0.0,0.0,29.085344
2020-12-21,29.476311742495813,29.585557438225205,28.58248866125752,29.19823265075684,1277900,0.0,0.0,28.995249
2020-12-22,29.33727392218268,29.3869300246906,28.61228232345841,28.989675521850582,886800,0.0,0.0,28.410856
2020-12-23,28.810909340470253,29.16843932549337,28.483174152285333,28.791046142578125,1291000,0.0,0.0,28.249557
2020-12-28,28.930085066513858,29.049262360955765,28.036261988105448,28.701663970947266,1353500,0.0,0.0,28.026329
2020-12-29,28.69173192395354,29.972879768602752,28.39379153388846,29.873565673828125,1950600,0.0,0.0,27.941566
2020-12-30,29.88349878168029,30.18143918678969,29.367066978182365,29.982812881469727,1598200,0.0,0.0,29.052847
2021-01-04,30.231096990627865,30.38999879157197,28.92015618570959,28.99960708618164,1135900,0.0,0.0,29.031162
2021-01-05,29.10885015852368,29.10885015852368,27.88729188413294,28.15543937683105,1688100,0.0,0.0,28.18607
